"country","AT_wh","AT_ha","AT_mu"
"CAF",52.7235354573484,45.9660842754368,8.14491264131552
"DRC",47.998180902727,40.0737384073154,11.0640094852929
"afghanistan",56.6343042071197,39.1181229773463,12.9786947141316
"angola",58.6527293844367,45.5284552845528,4.99419279907085
"burundi",55.9827383287564,30.7963907414672,8.67006669282071
"chad",61.8543332612924,50.0180102298105,12.2613644550104
"ethiopia",63.0593280914939,52.1515368120086,10.7934238741959
"ginea",52.4108488196886,48.1416373681567,7.98593671521848
"guatemala",37.6914016489988,23.6749116607774,8.12720848056537
"haiti",47.9870828848224,52.0990312163617,3.97201291711518
"kenya",62.1404358353511,54.5859564164649,4.48426150121065
"liberia",46.5644520159001,39.8069278818853,13.060760931289
"mali",62.7162075592569,48.1956011103993,7.62331838565022
"mauritania",66.8986852281516,50.4253673627223,4.64037122969838
"myanmar",65.6836461126005,40.4953402272437,15.0006383250351
"nepal",67.6721160488142,29.9102003223578,16.2099930923325
"niger",63.7136860709157,41.1023969954711,14.6249861924224
"pakistan",63.195070634205,50.3456567478209,8.76164712954614
"sierra leone",45.7276368491322,42.9906542056075,9.94659546061415
"somalia",60.2060282334987,47.8443342235788,11.2552460892789
"sri lanka",69.2749461593683,59.5836324479541,3.01507537688442
"sudan",62.5983485995782,52.3677595585889,12.1823855809863
"tajikistan",43.7209302325581,49.5348837209302,19.0697674418605
"uganda",39.0861829098631,50.0915281540602,9.41641648971224
